f_d_(GHz)_true,f_d_(GHz)_pred,f_b_(GHz)_true,f_b_(GHz)_pred,log₁₀(τd)_true,log₁₀(τd)_pred,log₁₀(τb)_true,log₁₀(τb)_pred,log₁₀(Rd_Ra)_true,log₁₀(Rd_Ra)_pred,τd___τb_true,τd___τb_pred
3.470031791724903,3.47364094628893,0.11932395103988483,0.12225716182080335,4.661486677915147,4.661035206161858,6.125092506408691,6.114545822143555,2.480600220570992,2.472744670341574,0.03438699072568741,0.035195681911631374
15.646299768184903,20.72647173467648,1.6390194552215855,1.4645778858799454,4.007408484983994,3.8852947531647852,4.987236022949219,5.036107659339905,1.8943628389179201,1.8060011513343806,0.10475444542832804,0.07066219010298934
35.59933011424346,32.747092492310465,0.06457445300321135,0.06830858284257317,3.650378305871954,3.6866473851950037,6.391759395599365,6.367344856262207,1.7204858690683364,1.7545135646341081,0.001813923261926068,0.0020859434424174627
13.934972901311015,14.262558467152454,0.14597853274721065,0.13907430094384263,4.057714003143874,4.047622693888909,6.037531137466431,6.058573246002197,2.141473500029691,2.175217446721563,0.010475695487967321,0.00975100654375155
1.7586964931971427,1.6818133669762176,0.10180052807813832,0.09851370504385967,4.956629234027918,4.97604233173143,6.194070100784302,6.2083234786987305,2.2912365009099616,2.3069305245073113,0.057884079755611814,0.058575884208234334
6.170536255185596,6.486920537980614,0.11238399746113639,0.11100369490868252,4.411497223273498,4.389781553601885,6.151115655899048,6.156482696533203,2.131201881679732,2.096756620653651,0.018213003345809872,0.017111924565556342
1.4572643694472283,1.5590627770868557,0.24153853223365918,0.24603326504569023,5.038281785241158,5.008956528836941,5.818833708763123,5.810826301574707,2.5969013164677874,2.5714220779915298,0.16574791595658092,0.15780844021265725
15.873500280262736,15.629395915031866,0.08210287668011645,0.08165849433740338,4.001147427647856,4.007877939025014,6.287461757659912,6.28981876373291,2.3740618990469025,2.423449773455109,0.0051723233836587345,0.0052246737353979725
3.090759420815513,2.9369023322479917,0.4085490436175681,0.4163441559509042,4.711754929968594,4.733930627499418,5.590575933456421,5.582367658615112,2.529716750291138,2.538019302729951,0.13218403246337765,0.1417630240472525
1.8400874781743621,1.8396744881112548,0.13251334392527123,0.13587412044852942,4.936981661683793,4.937079145873198,6.0795605182647705,6.068683385848999,2.405249316452422,2.4090947618419003,0.0720146979407435,0.07385769674287751
17.790772651332418,18.66731767700565,0.07645357783931517,0.07426464911523699,3.9516253217859885,3.930738213358857,6.318422317504883,6.331037998199463,1.7903586138836043,1.8165084721651024,0.004297372538993649,0.003978324599185236
2.1006654622505487,2.201005025578215,0.30177658630478593,0.30859046434660103,4.879463236526148,4.859199097458189,5.722134590148926,5.712437629699707,2.574071278906454,2.5524542940345922,0.14365761313630457,0.14020434336152088
3.912514466925692,3.855358967276159,0.09701519653044274,0.09651796795486046,4.609364175235781,4.615755310798543,6.214980363845825,6.217211961746216,2.376840739327235,2.3921712865277276,0.02479612467904142,0.02503475520025343
12.990243562749535,11.236928084926701,0.0896528288570971,0.08337420580725444,4.088202837615318,4.151172530204814,6.249256134033203,6.280788421630859,1.6454975732602908,1.7232519286771242,0.006901551031281893,0.007419661777411675
3.5454932570864464,3.6259586757463875,0.13601838340753616,0.13548924945352803,4.652143467883362,4.642397281412892,6.068222522735596,6.069915294647217,2.18709254959803,2.1767918727903273,0.03836374054179165,0.03736646265711737
8.124916677988493,8.598382432727178,0.09390777398907718,0.09412428972937693,4.292001215711018,4.267403374190802,6.229118585586548,6.228118419647217,1.9071184510527617,1.9236386341978453,0.011557998403046535,0.010946743816734746
